Format Version,1.23,Take Name,experiment_005,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 01.49.57.954 ,Capture Start Frame,3442474,Total Frames in Take,11569,Total Exported Frames,11569,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
86,0.358000,0.639890,0.196301,0.042208,2.763601,1.977728,-2.855477,-4.204494,0.814019,89.913757,2.574609,1.741525,-0.641401
87,0.363000,0.649003,0.203839,0.041086,2.763600,1.977710,-2.855476,-4.237648,0.780489,89.898582,2.574727,1.741460,-0.641303
88,0.367000,0.636425,0.201989,0.040815,2.763597,1.977720,-2.855488,-4.242515,0.760694,89.869980,2.574810,1.741396,-0.641199
89,0.371000,0.627253,0.211778,0.041345,2.763604,1.977719,-2.855489,-4.325550,0.758250,89.884850,2.574870,1.741359,-0.641028
90,0.375000,0.614793,0.206533,0.037614,2.763600,1.977719,-2.855489,-4.303221,0.742524,89.871490,2.574982,1.741285,-0.640939
91,0.379000,0.623726,0.198132,0.038987,2.763605,1.977713,-2.855487,-4.317178,0.746482,89.897842,2.575023,1.741178,-0.640772
92,0.383000,0.628553,0.200867,0.037999,2.763602,1.977714,-2.855493,-4.091358,0.891835,89.969101,2.575010,1.740780,-0.640480
93,0.388000,0.642304,0.208871,0.043460,2.763598,1.977725,-2.855483,-4.356798,0.736491,89.884964,2.575177,1.740972,-0.640568
94,0.392000,0.621336,0.202436,0.034374,2.763601,1.977724,-2.855493,-4.511250,0.595220,89.825760,2.575397,1.741167,-0.640601
95,0.396000,0.632164,0.208108,0.042506,2.763606,1.977737,-2.855498,-4.612266,0.553947,89.796455,2.575524,1.741140,-0.640558
96,0.400000,0.616479,0.212577,0.046082,2.763601,1.977726,-2.855494,-4.619969,0.550277,89.806778,2.575588,1.741059,-0.640415
97,0.404000,0.636604,0.210670,0.048832,2.763598,1.977728,-2.855490,-4.620658,0.540410,89.831558,2.575635,1.740966,-0.640245
98,0.408000,0.642087,0.210702,0.055683,2.763603,1.977729,-2.855492,-4.707038,0.500246,89.873711,2.575803,1.740978,-0.640117
99,0.413000,0.640495,0.219234,0.052569,2.763609,1.977720,-2.855489,-4.726952,0.495375,89.876534,2.575892,1.740886,-0.640016
100,0.417000,0.645503,0.215656,0.048875,2.763610,1.977722,-2.855489,-4.812996,0.492175,89.892792,2.575954,1.740774,-0.639911
101,0.421000,0.605174,0.218310,0.041023,2.763601,1.977712,-2.855498,-4.843448,0.465759,89.886009,2.576038,1.740732,-0.639804
102,0.425000,0.606186,0.211659,0.049648,2.763594,1.977721,-2.855493,-4.862179,0.467655,89.893616,2.576114,1.740640,-0.639660
103,0.429000,0.613268,0.212402,0.038455,2.763608,1.977714,-2.855501,-4.892741,0.458247,89.910324,2.576214,1.740575,-0.639528
104,0.433000,0.628215,0.210412,0.047313,2.763609,1.977722,-2.855505,-4.939481,0.422855,89.901741,2.576314,1.740530,-0.639437
105,0.438000,0.636196,0.205604,0.050805,2.763605,1.977739,-2.855489,-4.954409,0.409312,89.873505,2.576376,1.740454,-0.639355
106,0.442000,0.634941,0.202527,0.040330,2.763602,1.977733,-2.855505,-4.970594,0.395568,89.868256,2.576461,1.740399,-0.639229
107,0.446000,0.632066,0.203378,0.041780,2.763600,1.977727,-2.855504,-5.010432,0.403219,89.864769,2.576546,1.740341,-0.639110
108,0.450000,0.630193,0.205134,0.039333,2.763602,1.977726,-2.855508,-5.052408,0.404978,89.834900,2.576620,1.740266,-0.639009
109,0.454000,0.626067,0.211191,0.037193,2.763604,1.977713,-2.855505,-5.084909,0.396647,89.827087,2.576705,1.740256,-0.638890
110,0.458000,0.619355,0.194729,0.040082,2.763599,1.977717,-2.855481,-5.089591,0.376664,89.814034,2.576777,1.740254,-0.638779
111,0.463000,0.634942,0.206400,0.042825,2.763598,1.977708,-2.855488,-5.059142,0.406629,89.805092,2.576844,1.740207,-0.638652
112,0.467000,0.640107,0.208603,0.039792,2.763595,1.977702,-2.855493,-5.077551,0.387221,89.779221,2.576918,1.740190,-0.638556
113,0.471000,0.628633,0.205884,0.042748,2.763597,1.977706,-2.855496,-5.087257,0.370212,89.765579,2.577002,1.740237,-0.638438
114,0.475000,0.652921,0.204148,0.043484,2.763593,1.977711,-2.855485,-5.085240,0.389117,89.760544,2.577070,1.740227,-0.638325
